  1,291,047,898  99% - ...
          6,456   0%                             - seed7-re-search-backward
          3,384   0%                              - run-with-timer
          3,384   0%                               - run-at-time
          1,896   0%                                - timer-activate
          1,896   0%                                 - timer--activate
          1,896   0%                                    timer--time-less-p
            912   0%                                  timer-relative-time
            576   0%                                - timer-set-time
            576   0%                                   timer--time-setter
          3,072   0%                                re-search-backward
          6,456   0%                            - seed7-line-inside-func-return-statement
          6,456   0%                             - seed7-re-search-backward
          3,384   0%                              - run-with-timer
          3,384   0%                               - run-at-time
          1,896   0%                                - timer-activate
          1,896   0%                                 - timer--activate
          1,896   0%                                    timer--time-less-p
            912   0%                                  timer-relative-time
            576   0%                                - timer-set-time
            576   0%                                   timer--time-setter
          3,072   0%                                re-search-backward
          3,680   0%                              seed7--indent-search-boundary
          3,072   0%                              seed7-line-after-func-return-logic-operator-column
          1,024   0%                            - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                               seed7-line-starts-with
         20,832   0%                           - seed7-line-code-ends-with
         19,680   0%                            - seed7-re-search-backward
         13,536   0%                             - run-with-timer
         13,536   0%                              - run-at-time
          7,584   0%                               - timer-activate
          7,584   0%                                - timer--activate
          7,584   0%                                   timer--time-less-p
          3,648   0%                                 timer-relative-time
          2,304   0%                               - timer-set-time
          2,304   0%                                  timer--time-setter
          6,144   0%                               re-search-backward
          1,152   0%                            - seed7-move-to-line
          1,152   0%                               seed7-to-previous-non-empty-line
         16,376   0%                             seed7-line-starts-with
          1,024   0%                             looking-at
         19,784   0%                          - seed7-line-at-endof-array-definition-block
         13,120   0%                           - seed7-line-code-ends-with
         13,120   0%                            - seed7-re-search-backward
          9,024   0%                             - run-with-timer
          9,024   0%                              - run-at-time
          5,056   0%                               - timer-activate
          5,056   0%                                - timer--activate
          5,056   0%                                   timer--time-less-p
          2,432   0%                                 timer-relative-time
          1,536   0%                               - timer-set-time
          1,536   0%                                  timer--time-setter
