      2,269,730 100% - ...
      2,269,730 100%  - #<primitive-function call-interactively>
      2,269,730 100%   - funcall-interactively
      2,269,730 100%    - smex
      2,269,730 100%     - smex-read-and-run
      2,269,730 100%      - execute-extended-command
      2,269,730 100%       - command-execute
      2,269,730 100%        - call-interactively
      2,269,730 100%         - apply
      2,269,730 100%          - call-interactively@ido-cr+-record-current-command
      2,269,730 100%           - #<primitive-function call-interactively>
      2,269,730 100%            - funcall-interactively
      2,269,730 100%             - pel-profile-all
      2,269,730 100%              - pel-profile-dir
      2,269,730 100%               - pel-profile-indent
      2,269,730 100%                - pel-profile-indentation-test-of
         19,720   0%                          - seed7-line-inside-set-definition-block
         19,720   0%                           - seed7-re-search-backward
         10,504   0%                            - run-with-timer
         10,504   0%                             - run-at-time
          4,056   0%                              - timer-activate
          4,056   0%                               - timer--activate
          4,056   0%                                  timer--time-less-p
          3,952   0%                                timer-relative-time
          2,496   0%                              - timer-set-time
          2,496   0%                                 timer--time-setter
          9,216   0%                              re-search-backward
         19,720   0%                          - seed7-line-inside-assign-statement-continuation
         19,720   0%                           - seed7-assign-op-pos
         19,720   0%                            - seed7-re-search-backward
         10,504   0%                             - run-with-timer
         10,504   0%                              - run-at-time
          4,056   0%                               - timer-activate
          4,056   0%                                - timer--activate
          4,056   0%                                   timer--time-less-p
          3,952   0%                                 timer-relative-time
          2,496   0%                               - timer-set-time
          2,496   0%                                  timer--time-setter
          9,216   0%                               re-search-backward
         18,320   0%                          - seed7-line-inside-logic-check-expression
         18,320   0%                           - seed7-to-previous-line-starts-with
         18,320   0%                            - seed7-re-search-backward
         10,240   0%                               re-search-backward
          8,080   0%                             - run-with-timer
          8,080   0%                              - run-at-time
          3,120   0%                               - timer-activate
          3,120   0%                                - timer--activate
          3,120   0%                                   timer--time-less-p
          3,040   0%                                 timer-relative-time
          1,920   0%                               - timer-set-time
          1,920   0%                                  timer--time-setter
         18,320   0%                          - seed7-line-inside-until-logic-expression
         18,320   0%                           - seed7-re-search-backward
         10,240   0%                              re-search-backward
          8,080   0%                            - run-with-timer
          8,080   0%                             - run-at-time
          3,120   0%                              - timer-activate
          3,120   0%                               - timer--activate
          3,120   0%                                  timer--time-less-p
          3,040   0%                                timer-relative-time
          1,920   0%                              - timer-set-time
          1,920   0%                                 timer--time-setter
         18,320   0%                          - seed7-line-inside-func-return-statement
         18,320   0%                           - seed7-re-search-backward
         10,240   0%                              re-search-backward
          8,080   0%                            - run-with-timer
          8,080   0%                             - run-at-time
          3,120   0%                              - timer-activate
          3,120   0%                               - timer--activate
          3,120   0%                                  timer--time-less-p
          3,040   0%                                timer-relative-time
          1,920   0%                              - timer-set-time
          1,920   0%                                 timer--time-setter
         11,264   0%                            seed7-line-starts-with
         11,264   0%                          - seed7-line-after-func-return-logic-operator-column
          1,024   0%                           - seed7-move-to-line
          1,024   0%                              seed7-to-previous-non-empty-line
          9,216   0%                          - seed7-line-isa-string
          9,216   0%                             seed7-line-starts-with
          8,192   0%                            seed7--indent-search-boundary
          2,048   0%                            seed7-line-after-short-func-end
